Latitude (decimal degrees):	37.779
Longitude (decimal degrees):	-122.420
Elevation (m):	19
Radiation database:	PVGIS-NSRDB


Slope: 0 deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0000,473.35,565.73,9.19,12.51,2.48,0.0
20150101:0100,0.0,0.0,0.0,10.89,2.0,0.0
20150101:0200,0.0,0.0,0.0,9.99,1.45,0.0
20150101:0300,0.0,0.0,0.0,11.01,1.03,0.0
20150101:0400,0.0,0.0,0.0,10.72,1.1,0.0
20150101:0500,0.0,0.0,0.0,10.39,1.1,0.0
20150101:0600,0.0,0.0,0.0,10.06,1.1,0.0
20150101:0700,0.0,0.0,0.0,9.6,1.59,0.0
20150101:0800,0.0,0.0,0.0,7.32,2.0,0.0
20150101:0900,0.0,0.0,0.0,5.61,2.48,0.0
20150101:1000,0.0,0.0,0.0,5.01,2.9,0.0
20150101:1100,0.0,0.0,0.0,4.92,3.24,0.0
20150101:1200,0.0,0.0,0.0,4.87,3.59,0.0
20150101:1300,0.0,0.0,0.0,4.62,3.59,0.0
20150101:1400,0.0,0.0,0.0,4.4,3.66,0.0
20150101:1500,0.0,0.0,0.0,4.17,3.59,0.0
20150101:1600,385.34,437.47,5.03,4.14,3.52,0.0
20150101:1700,553.31,641.16,14.17,5.9,3.38,0.0
20150101:1800,538.85,632.53,21.64,7.92,3.79,0.0
20150101:1900,477.52,566.7,26.83,8.82,4.07,0.0
20150101:2000,434.92,521.26,29.13,9.68,4.28,1.0
20150101:2100,450.23,540.11,28.22,10.3,4.14,0.0
20150101:2200,508.13,605.6,24.22,10.68,3.93,0.0
20150101:2300,547.74,650.34,17.67,10.73,3.59,0.0
20150102:0000,486.46,574.3,9.32,10.4,2.83,0.0
20150102:0100,0.0,0.0,0.0,9.51,2.48,0.0
20150102:0200,0.0,0.0,0.0,7.96,2.21,0.0
20150102:0300,0.0,0.0,0.0,6.6,2.21,0.0
20150102:0400,0.0,0.0,0.0,5.7,2.34,0.0
20150102:0500,0.0,0.0,0.0,4.94,2.07,0.0
20150102:0600,0.0,0.0,0.0,5.37,1.72,0.0
20150102:0700,0.0,0.0,0.0,5.2,1.79,0.0
20150102:0800,0.0,0.0,0.0,4.35,1.93,0.0
20150102:0900,0.0,0.0,0.0,3.97,2.0,0.0
20150102:1000,0.0,0.0,0.0,3.55,2.0,0.0
20150102:1100,0.0,0.0,0.0,3.6,1.93,0.0
20150102:1200,0.0,0.0,0.0,3.93,1.72,0.0
20150102:1300,0.0,0.0,0.0,3.34,1.86,0.0
20150102:1400,0.0,0.0,0.0,2.37,2.14,0.0
20150102:1500,0.0,0.0,0.0,2.33,2.34,0.0
20150102:1600,367.23,416.41,5.02,2.45,2.34,0.0
20150102:1700,538.66,626.51,14.17,4.86,2.21,0.0
20150102:1800,523.52,619.01,21.67,7.3,2.34,0.0
20150102:1900,469.69,556.37,26.88,7.32,3.1,0.0
20150102:2000,427.4,512.41,29.21,8.2,2.9,0.0
20150102:2100,442.12,531.57,28.32,8.89,2.62,0.0
20150102:2200,496.37,594.11,24.34,9.38,2.41,0.0
20150102:2300,536.76,638.25,17.8,9.6,2.62,0.0
20150103:0000,476.56,559.79,9.46,9.54,2.83,0.0
20150103:0100,0.0,0.0,0.0,8.93,2.76,0.0
20150103:0200,0.0,0.0,0.0,7.86,2.21,0.0
20150103:0300,0.0,0.0,0.0,6.63,1.59,0.0
20150103:0400,0.0,0.0,0.0,8.01,1.03,0.0
20150103:0500,0.0,0.0,0.0,7.84,0.83,0.0
20150103:0600,0.0,0.0,0.0,7.65,1.24,0.0
20150103:0700,0.0,0.0,0.0,7.84,1.17,0.0
20150103:0800,0.0,0.0,0.0,7.65,1.1,0.0
20150103:0900,0.0,0.0,0.0,7.51,1.1,0.0
20150103:1000,0.0,0.0,0.0,7.36,1.03,0.0
20150103:1100,0.0,0.0,0.0,7.15,1.03,0.0
20150103:1200,0.0,0.0,0.0,7.05,0.83,0.0
20150103:1300,0.0,0.0,0.0,7.0,1.1,0.0
20150103:1400,0.0,0.0,0.0,5.65,1.52,0.0
20150103:1500,0.0,0.0,0.0,5.21,1.59,0.0
20150103:1600,349.15,403.28,5.01,5.02,1.38,0.0
20150103:1700,517.36,610.19,14.18,5.59,1.1,0.0
20150103:1800,506.39,610.51,21.7,8.41,0.97,0.0
20150103:1900,461.53,552.22,26.95,8.01,2.14,0.0
20150103:2000,420.16,508.58,29.3,9.08,2.07,0.0
20150103:2100,432.27,526.3,28.43,9.99,1.66,0.0
20150103:2200,482.39,587.18,24.47,10.58,1.24,0.0
20150103:2300,519.06,629.49,17.93,10.85,1.24,0.0
20150104:0000,460.35,551.03,9.6,10.77,1.31,0.0
20150104:0100,0.0,0.0,0.0,10.36,1.59,0.0
20150104:0200,0.0,0.0,0.0,8.91,1.66,0.0
20150104:0300,0.0,0.0,0.0,8.02,1.45,0.0
20150104:0400,0.0,0.0,0.0,7.61,1.45,0.0
20150104:0500,0.0,0.0,0.0,6.69,1.59,0.0
20150104:0600,0.0,0.0,0.0,6.1,1.66,0.0
20150104:0700,0.0,0.0,0.0,8.28,0.97,0.0
20150104:0800,0.0,0.0,0.0,8.0,1.1,0.0
20150104:0900,0.0,0.0,0.0,6.4,1.45,0.0
20150104:1000,0.0,0.0,0.0,4.88,1.93,0.0
20150104:1100,0.0,0.0,0.0,4.5,2.0,0.0
20150104:1200,0.0,0.0,0.0,4.7,1.79,0.0
20150104:1300,0.0,0.0,0.0,4.77,1.66,0.0
20150104:1400,0.0,0.0,0.0,4.42,1.93,0.0
20150104:1500,0.0,0.0,0.0,4.31,2.07,0.0
20150104:1600,0.0,5.12,5.01,4.67,2.28,0.0
20150104:1700,38.38,59.32,14.2,5.87,2.34,0.0
20150104:1800,278.09,330.05,21.74,7.44,2.21,0.0
20150104:1900,365.31,435.99,27.01,8.54,2.55,0.0
20150104:2000,319.76,386.91,29.4,9.88,2.76,0.0
20150104:2100,264.01,322.85,28.55,10.82,2.41,0.0
20150104:2200,306.99,371.11,24.6,11.49,2.41,0.0
20150104:2300,299.85,360.47,18.07,11.94,2.21,0.0
20150105:0000,463.71,553.23,9.75,11.88,2.21,0.0
20150105:0100,0.0,0.0,0.0,11.18,2.48,0.0
20150105:0200,0.0,0.0,0.0,10.08,2.55,0.0
20150105:0300,0.0,0.0,0.0,8.92,2.55,0.0
20150105:0400,0.0,0.0,0.0,7.93,2.55,0.0
20150105:0500,0.0,0.0,0.0,7.15,2.48,0.0
20150105:0600,0.0,0.0,0.0,6.61,2.34,0.0
20150105:0700,0.0,0.0,0.0,6.35,2.55,0.0
20150105:0800,0.0,0.0,0.0,6.15,2.69,0.0
20150105:0900,0.0,0.0,0.0,5.92,2.76,0.0
20150105:1000,0.0,0.0,0.0,5.88,2.97,0.0
20150105:1100,0.0,0.0,0.0,5.89,3.17,0.0
20150105:1200,0.0,0.0,0.0,5.81,3.38,0.0
20150105:1300,0.0,0.0,0.0,5.81,3.59,0.0
20150105:1400,0.0,0.0,0.0,5.87,3.66,0.0
20150105:1500,0.0,0.0,0.0,5.91,3.72,0.0
20150105:1600,87.3,113.06,5.02,5.96,3.72,0.0
20150105:1700,295.47,344.61,14.23,7.42,3.59,0.0
20150105:1800,351.63,415.3,21.79,9.61,3.66,0.0
20150105:1900,354.4,423.76,27.09,10.18,3.72,0.0
20150105:2000,348.23,420.66,29.5,11.41,4.28,0.0
20150105:2100,341.6,413.03,28.68,12.39,4.83,0.0
20150105:2200,387.2,463.63,24.74,13.11,4.97,0.0
20150105:2300,343.29,408.39,18.21,13.27,5.17,0.0
20150106:0000,467.3,549.77,9.9,12.78,5.03,0.0
20150106:0100,0.0,0.0,0.0,11.58,4.83,0.0
20150106:0200,0.0,0.0,0.0,10.63,4.28,0.0
20150106:0300,0.0,0.0,0.0,9.92,3.93,0.0
20150106:0400,0.0,0.0,0.0,9.35,3.72,0.0
20150106:0500,0.0,0.0,0.0,8.91,3.66,0.0
20150106:0600,0.0,0.0,0.0,8.55,3.59,0.0
20150106:0700,0.0,0.0,0.0,8.6,3.52,0.0
20150106:0800,0.0,0.0,0.0,8.5,4.0,0.0
20150106:0900,0.0,0.0,0.0,8.34,4.14,0.0
20150106:1000,0.0,0.0,0.0,8.18,3.93,0.0
20150106:1100,0.0,0.0,0.0,8.03,3.79,0.0
20150106:1200,0.0,0.0,0.0,7.89,3.86,0.0
20150106:1300,0.0,0.0,0.0,7.78,3.93,0.0
20150106:1400,0.0,0.0,0.0,7.66,4.21,0.0
20150106:1500,0.0,0.0,0.0,7.49,4.41,0.0
20150106:1600,361.58,415.35,5.03,7.43,4.34,0.0
20150106:1700,535.64,624.7,14.26,8.73,4.14,0.0
20150106:1800,525.38,623.16,21.85,11.01,4.21,0.0
20150106:1900,471.91,562.68,27.17,11.53,5.31,0.0
20150106:2000,428.09,518.29,29.61,12.91,4.97,0.0
20150106:2100,440.1,535.57,28.81,14.12,4.62,0.0
20150106:2200,492.09,596.16,24.88,15.0,4.48,0.0
20150106:2300,529.79,639.15,18.37,15.36,4.34,0.0
20150107:0000,475.4,569.71,10.06,15.05,3.79,0.0
20150107:0100,0.0,0.0,0.0,13.89,3.52,0.0
20150107:0200,0.0,0.0,0.0,12.49,3.66,0.0
20150107:0300,0.0,0.0,0.0,11.38,3.52,0.0
20150107:0400,0.0,0.0,0.0,10.38,3.38,0.0
20150107:0500,0.0,0.0,0.0,9.64,3.38,0.0
20150107:0600,0.0,0.0,0.0,9.11,3.45,0.0
20150107:0700,0.0,0.0,0.0,8.63,2.83,0.0
20150107:0800,0.0,0.0,0.0,8.4,3.1,0.0
