Latitude (decimal degrees):	40.525
Longitude (decimal degrees):	-3.772
Elevation (m):	652
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,2.91,1.45,0.0
20200101:0110,0.0,0.0,0.0,2.04,1.59,0.0
20200101:0210,0.0,0.0,0.0,1.69,1.59,0.0
20200101:0310,0.0,0.0,0.0,1.38,1.59,0.0
20200101:0410,0.0,0.0,0.0,1.07,1.66,0.0
20200101:0510,0.0,0.0,0.0,0.76,1.66,0.0
20200101:0610,0.0,0.0,0.0,0.54,1.66,0.0
20200101:0710,0.0,0.0,0.0,-2.26,1.52,0.0
20200101:0810,92.04,120.06,4.23,-2.19,1.52,0.0
20200101:0910,450.61,521.12,12.86,0.63,0.9,0.0
20200101:1010,607.7,736.72,19.81,5.25,0.28,0.0
20200101:1110,713.48,900.62,24.51,8.39,0.21,0.0
20200101:1210,728.35,923.45,26.44,10.13,0.55,0.0
20200101:1310,690.65,869.33,25.34,11.2,0.76,0.0
20200101:1410,534.31,655.98,21.35,11.8,0.9,0.0
20200101:1510,387.68,471.75,14.97,11.82,0.97,0.0
20200101:1610,166.15,214.29,6.74,10.89,1.31,0.0
20200101:1710,0.0,0.0,0.0,8.99,1.31,0.0
20200101:1810,0.0,0.0,0.0,8.54,0.69,0.0
20200101:1910,0.0,0.0,0.0,7.19,0.41,0.0
20200101:2010,0.0,0.0,0.0,5.87,0.97,0.0
20200101:2110,0.0,0.0,0.0,3.35,1.45,0.0
20200101:2210,0.0,0.0,0.0,2.07,1.59,0.0
20200101:2310,0.0,0.0,0.0,1.84,1.52,0.0
20200102:0010,0.0,0.0,0.0,1.91,1.45,0.0
20200102:0110,0.0,0.0,0.0,1.78,1.45,0.0
20200102:0210,0.0,0.0,0.0,1.93,1.38,0.0
20200102:0310,0.0,0.0,0.0,2.13,1.31,0.0
20200102:0410,0.0,0.0,0.0,2.51,1.24,0.0
20200102:0510,0.0,0.0,0.0,2.69,1.24,0.0
20200102:0610,0.0,0.0,0.0,2.89,1.17,0.0
20200102:0710,0.0,0.0,0.0,2.99,0.9,0.0
20200102:0810,176.7,220.19,4.23,2.78,0.76,0.0
20200102:0910,443.7,520.98,12.87,3.26,0.62,0.0
20200102:1010,599.89,726.98,19.85,4.93,0.14,0.0
20200102:1110,708.45,883.02,24.57,6.77,0.28,0.0
20200102:1210,714.56,891.31,26.52,8.11,0.62,0.0
20200102:1310,669.67,827.97,25.44,8.99,0.83,0.0
20200102:1410,604.19,738.41,21.47,9.46,0.97,0.0
20200102:1510,432.94,521.43,15.09,9.34,0.97,0.0
20200102:1610,226.97,284.56,6.88,8.54,1.1,0.0
20200102:1710,0.0,0.0,0.0,7.15,0.9,0.0
20200102:1810,0.0,0.0,0.0,6.36,0.41,0.0
20200102:1910,0.0,0.0,0.0,6.16,0.48,0.0
20200102:2010,0.0,0.0,0.0,4.91,1.03,0.0
20200102:2110,0.0,0.0,0.0,2.58,1.38,0.0
20200102:2210,0.0,0.0,0.0,2.02,1.45,0.0
20200102:2310,0.0,0.0,0.0,1.96,1.38,0.0
20200103:0010,0.0,0.0,0.0,1.72,1.38,0.0
20200103:0110,0.0,0.0,0.0,1.39,1.38,0.0
20200103:0210,0.0,0.0,0.0,1.16,1.38,0.0
20200103:0310,0.0,0.0,0.0,1.3,1.31,0.0
20200103:0410,0.0,0.0,0.0,1.8,1.17,0.0
20200103:0510,0.0,0.0,0.0,1.95,1.03,0.0
20200103:0610,0.0,0.0,0.0,1.63,1.03,0.0
20200103:0710,0.0,0.0,0.0,-0.62,1.31,0.0
20200103:0810,35.1,54.93,4.23,-0.46,1.24,0.0
20200103:0910,101.26,129.12,12.89,1.14,0.83,0.0
20200103:1010,245.6,292.25,19.89,4.3,0.21,0.0
20200103:1110,290.95,347.44,24.63,6.4,0.34,0.0
20200103:1210,129.44,165.72,26.61,7.81,0.48,0.0
20200103:1310,391.02,469.71,25.55,8.75,0.55,0.0
20200103:1410,544.14,664.8,21.6,9.39,0.48,0.0
20200103:1510,413.27,500.32,15.23,9.67,0.55,0.0
20200103:1610,211.07,266.2,7.01,9.19,1.03,0.0
20200103:1710,0.0,0.0,0.0,7.65,0.76,0.0
20200103:1810,0.0,0.0,0.0,7.02,0.34,0.0
20200103:1910,0.0,0.0,0.0,2.57,1.38,0.0
20200103:2010,0.0,0.0,0.0,0.89,1.79,0.0
20200103:2110,0.0,0.0,0.0,0.28,1.93,0.0
20200103:2210,0.0,0.0,0.0,0.02,1.93,0.0
20200103:2310,0.0,0.0,0.0,0.13,1.93,0.0
20200104:0010,0.0,0.0,0.0,-0.01,2.0,0.0
20200104:0110,0.0,0.0,0.0,-0.09,2.0,0.0
20200104:0210,0.0,0.0,0.0,-0.07,1.93,0.0
20200104:0310,0.0,0.0,0.0,-0.05,1.93,0.0
20200104:0410,0.0,0.0,0.0,-0.65,1.93,0.0
20200104:0510,0.0,0.0,0.0,-1.06,1.93,0.0
20200104:0610,0.0,0.0,0.0,-1.23,1.93,0.0
20200104:0710,0.0,0.0,0.0,-1.2,1.93,0.0
20200104:0810,175.36,214.48,4.23,-0.86,1.93,0.0
20200104:0910,460.25,529.43,12.92,1.34,1.79,0.0
20200104:1010,629.89,743.04,19.93,4.15,1.66,0.0
20200104:1110,728.05,881.13,24.71,6.74,1.79,0.0
20200104:1210,749.95,912.48,26.71,8.46,2.28,0.0
20200104:1310,725.07,874.34,25.67,9.65,3.1,0.0
20200104:1410,630.07,753.3,21.73,10.14,3.1,0.0
20200104:1510,464.69,552.62,15.37,10.19,2.97,0.0
20200104:1610,252.77,314.87,7.16,9.56,2.28,0.0
20200104:1710,0.0,0.0,0.0,7.78,2.14,0.0
20200104:1810,0.0,0.0,0.0,6.14,2.14,0.0
20200104:1910,0.0,0.0,0.0,5.26,2.0,0.0
20200104:2010,0.0,0.0,0.0,3.93,2.07,0.0
20200104:2110,0.0,0.0,0.0,2.91,2.07,0.0
20200104:2210,0.0,0.0,0.0,1.96,2.0,0.0
20200104:2310,0.0,0.0,0.0,1.25,1.93,0.0
20200105:0010,0.0,0.0,0.0,0.39,1.86,0.0
20200105:0110,0.0,0.0,0.0,-0.32,1.72,0.0
20200105:0210,0.0,0.0,0.0,-0.94,1.59,0.0
20200105:0310,0.0,0.0,0.0,-1.5,1.52,0.0
20200105:0410,0.0,0.0,0.0,-1.94,1.52,0.0
20200105:0510,0.0,0.0,0.0,-2.31,1.45,0.0
20200105:0610,0.0,0.0,0.0,-2.55,1.45,0.0
20200105:0710,0.0,0.0,0.0,-2.36,1.52,0.0
20200105:0810,178.98,217.72,4.25,-2.27,1.45,0.0
20200105:0910,459.27,531.73,12.95,0.77,0.9,0.0
20200105:1010,607.28,733.75,19.99,5.28,0.41,0.0
20200105:1110,697.71,870.62,24.79,8.01,0.41,0.0
20200105:1210,725.1,918.36,26.81,9.82,0.48,0.0
20200105:1310,690.07,873.3,25.79,11.06,0.48,0.0
20200105:1410,602.16,751.96,21.87,11.84,0.48,0.0
20200105:1510,450.06,553.34,15.51,12.03,0.48,0.0
20200105:1610,242.36,306.68,7.3,11.44,0.97,0.0
20200105:1710,0.0,0.0,0.0,9.19,1.24,0.0
20200105:1810,0.0,0.0,0.0,8.87,0.9,0.0
20200105:1910,0.0,0.0,0.0,7.98,0.83,0.0
20200105:2010,0.0,0.0,0.0,5.79,1.31,0.0
20200105:2110,0.0,0.0,0.0,3.45,1.59,0.0
20200105:2210,0.0,0.0,0.0,2.42,1.72,0.0
20200105:2310,0.0,0.0,0.0,2.31,1.72,0.0
20200106:0010,0.0,0.0,0.0,2.48,1.66,0.0
20200106:0110,0.0,0.0,0.0,1.64,1.79,0.0
20200106:0210,0.0,0.0,0.0,0.95,1.86,0.0
20200106:0310,0.0,0.0,0.0,0.8,1.86,0.0
20200106:0410,0.0,0.0,0.0,0.92,1.79,0.0
